X,Y,Predicted,A2,Z2,A1,Z1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[1],0,0.02,-3.79,"[0.83, 0.8]","[1.6, 1.4]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0],0,0.02,-3.9,"[0.89, 0.81]","[2.1, 1.48]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",[0],0,0.02,-3.75,"[0.82, 0.79]","[1.51, 1.31]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",[0],0,0.02,-3.86,"[0.88, 0.8]","[2.01, 1.38]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",[0],0,0.02,-3.9,"[0.89, 0.81]","[2.14, 1.46]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",[0],0,0.02,-3.97,"[0.93, 0.82]","[2.64, 1.54]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",[0],0,0.02,-3.87,"[0.89, 0.8]","[2.05, 1.37]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",[0],0,0.02,-3.95,"[0.93, 0.81]","[2.55, 1.45]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[0],0,0.02,-3.66,"[0.79, 0.76]","[1.3, 1.15]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",[0],0,0.02,-3.79,"[0.86, 0.77]","[1.8, 1.23]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",[0],0,0.03,-3.62,"[0.77, 0.74]","[1.21, 1.05]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",[0],0,0.02,-3.75,"[0.85, 0.76]","[1.71, 1.13]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",[0],0,0.02,-3.8,"[0.86, 0.77]","[1.84, 1.21]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",[0],0,0.02,-3.89,"[0.91, 0.78]","[2.34, 1.29]"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",[0],0,0.02,-3.76,"[0.85, 0.75]","[1.75, 1.12]"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",[0],0,0.02,-3.86,"[0.9, 0.77]","[2.25, 1.19]"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",[0],0,0.03,-3.47,"[0.7, 0.71]","[0.86, 0.88]"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",[0],0,0.03,-3.63,"[0.8, 0.72]","[1.36, 0.96]"
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",[0],0,0.03,-3.41,"[0.68, 0.69]","[0.77, 0.79]"
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",[0],0,0.03,-3.58,"[0.78, 0.7]","[1.27, 0.86]"
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",[0],0,0.03,-3.64,"[0.8, 0.72]","[1.4, 0.94]"
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",[0],0,0.02,-3.76,"[0.87, 0.74]","[1.9, 1.02]"
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",[0],0,0.03,-3.59,"[0.79, 0.7]","[1.31, 0.85]"
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",[0],0,0.02,-3.72,"[0.86, 0.72]","[1.81, 0.93]"
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",[0],0,0.04,-3.3,"[0.64, 0.65]","[0.56, 0.63]"
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",[0],0,0.03,-3.48,"[0.74, 0.67]","[1.06, 0.71]"
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",[0],0,0.04,-3.24,"[0.61, 0.63]","[0.47, 0.53]"
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",[0],0,0.03,-3.43,"[0.72, 0.65]","[0.97, 0.61]"
