X,Y,Predicted,Number of 1's,F1,F2,F3,F4,F5,F6,A2,Z2,A1,Z1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0,0,0,0,0,0,0,1.0,7.25,"[1.46, 0.0, 0.09, 0.46, 0.0, 0.0, 0.0, 0.0, 0.37, 0.25]","[1.46, 0.0, 0.09, 0.46, -0.0, 0.0, 0.0, -0.0, 0.37, 0.25]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,1,0,0,0,0,0,0,0.0,-16.58,"[1.43, 2.56, 0.0, 0.41, 0.0, 0.0, 0.31, 1.39, 0.36, 0.23]","[1.43, 2.56, -0.19, 0.41, -0.0, -3.6, 0.31, 1.39, 0.36, 0.23]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,1,0,0,0,0,0,0,0.01,-5.07,"[1.38, 1.35, 0.04, 1.17, 0.0, 0.0, 0.8, 0.09, 0.0, 0.02]","[1.38, 1.35, 0.04, 1.17, -0.0, -1.88, 0.8, 0.09, -0.06, 0.02]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,0,2,0,0,0,0,0,0,0.0,-28.84,"[1.36, 3.91, 0.0, 1.13, 0.0, 0.0, 1.11, 1.48, 0.0, 0.0]","[1.36, 3.91, -0.24, 1.13, -0.0, -5.48, 1.11, 1.48, -0.07, -0.0]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,1,0,0,0,0,0,0,0.0,-16.47,"[1.29, 0.0, 0.11, 0.25, 0.0, 0.0, 2.82, 2.05, 0.37, 0.0]","[1.29, -3.09, 0.11, 0.25, -0.0, -0.92, 2.82, 2.05, 0.37, -0.23]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,2,0,0,0,0,0,0,0.0,-24.55,"[1.27, 0.0, 0.0, 0.2, 0.0, 0.0, 3.13, 3.44, 0.36, 0.0]","[1.27, -0.53, -0.16, 0.2, -0.0, -4.52, 3.13, 3.44, 0.36, -0.25]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0,0,2,0,0,0,0,0,0,0.0,-20.15,"[1.22, 0.0, 0.06, 0.96, 0.0, 0.0, 3.62, 2.14, 0.0, 0.0]","[1.22, -1.75, 0.06, 0.96, -0.0, -2.8, 3.62, 2.14, -0.06, -0.46]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,0,3,0,0,0,0,0,0,0.0,-33.17,"[1.19, 0.81, 0.0, 0.92, 0.0, 0.0, 3.93, 3.53, 0.0, 0.0]","[1.19, 0.81, -0.21, 0.92, -0.0, -6.4, 3.93, 3.53, -0.07, -0.48]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0.0,-6.36,"[0.0, 0.0, 0.77, 0.0, 0.0, 0.73, 0.0, 1.5, 0.81, 1.11]","[-0.22, -2.01, 0.77, -0.14, -0.0, 0.73, -0.16, 1.5, 0.81, 1.11]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0,0,2,0,0,0,0,0,0,0.0,-12.46,"[0.0, 0.55, 0.5, 0.0, 0.0, 0.0, 0.15, 2.89, 0.8, 1.09]","[-0.25, 0.55, 0.5, -0.19, -0.0, -2.87, 0.15, 2.89, 0.8, 1.09]"
