X,Y,Predicted,Number of 1's,A2,Z2,A1,Z1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0.13,-1.91,"[0.7, 0.87, 0.84, 0.65]","[0.84, 1.91, 1.64, 0.63]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,1,0.16,-1.64,"[0.64, 1.0, 0.68, 0.62]","[0.56, 5.72, 0.74, 0.5]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,1,0.12,-1.99,"[0.71, 0.87, 0.86, 0.64]","[0.88, 1.93, 1.81, 0.57]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,0,2,0.15,-1.76,"[0.65, 1.0, 0.71, 0.61]","[0.6, 5.74, 0.91, 0.45]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,1,0.11,-2.11,"[0.99, 0.7, 0.75, 0.99]","[4.38, 0.87, 1.11, 4.43]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,2,0.08,-2.44,"[0.98, 0.99, 0.55, 0.99]","[4.1, 4.68, 0.21, 4.3]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0,0,2,0.1,-2.24,"[0.99, 0.71, 0.78, 0.99]","[4.43, 0.89, 1.28, 4.37]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,0,3,0.07,-2.59,"[0.98, 0.99, 0.59, 0.99]","[4.15, 4.7, 0.38, 4.24]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,1,0.12,-1.96,"[0.6, 0.82, 1.0, 0.56]","[0.42, 1.51, 5.49, 0.24]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0,0,2,0.08,-2.41,"[0.53, 1.0, 0.99, 0.53]","[0.13, 5.32, 4.59, 0.11]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0,0,2,0.12,-1.96,"[0.61, 0.82, 1.0, 0.55]","[0.46, 1.53, 5.66, 0.18]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",0,0,3,0.08,-2.4,"[0.54, 1.0, 0.99, 0.51]","[0.18, 5.34, 4.76, 0.05]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,2,0.07,-2.63,"[0.98, 0.62, 0.99, 0.98]","[3.96, 0.47, 4.95, 4.04]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,0,3,0.02,-3.95,"[0.98, 0.99, 0.98, 0.98]","[3.68, 4.28, 4.06, 3.91]"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,0,3,0.07,-2.65,"[0.98, 0.62, 0.99, 0.98]","[4.01, 0.49, 5.12, 3.98]"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,0,4,0.02,-3.96,"[0.98, 0.99, 0.99, 0.98]","[3.72, 4.3, 4.23, 3.85]"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,1,0.02,-4.05,"[0.98, 1.0, 0.99, 0.98]","[4.15, 6.34, 5.15, 3.92]"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,0,2,0.02,-4.01,"[0.98, 1.0, 0.99, 0.98]","[3.87, 10.15, 4.25, 3.79]"
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0,0,2,0.02,-4.05,"[0.99, 1.0, 1.0, 0.98]","[4.2, 6.36, 5.32, 3.86]"
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",0,0,3,0.02,-4.02,"[0.98, 1.0, 0.99, 0.98]","[3.92, 10.17, 4.42, 3.73]"
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,2,0.02,-4.08,"[1.0, 1.0, 0.99, 1.0]","[7.7, 5.3, 4.61, 7.72]"
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,0,3,0.02,-4.05,"[1.0, 1.0, 0.98, 1.0]","[7.42, 9.11, 3.72, 7.59]"
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0,0,3,0.02,-4.09,"[1.0, 1.0, 0.99, 1.0]","[7.74, 5.32, 4.78, 7.66]"
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",0,0,4,0.02,-4.06,"[1.0, 1.0, 0.98, 1.0]","[7.46, 9.13, 3.89, 7.53]"
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,0,2,0.02,-4.03,"[0.98, 1.0, 1.0, 0.97]","[3.73, 5.94, 8.99, 3.53]"
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",0,0,3,0.02,-4.02,"[0.97, 1.0, 1.0, 0.97]","[3.45, 9.75, 8.1, 3.4]"
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",0,0,3,0.02,-4.03,"[0.98, 1.0, 1.0, 0.97]","[3.78, 5.96, 9.17, 3.47]"
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",0,0,4,0.02,-4.02,"[0.97, 1.0, 1.0, 0.97]","[3.5, 9.77, 8.27, 3.34]"
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0,0,3,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.28, 4.9, 8.46, 7.32]"
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.0, 8.71, 7.56, 7.2]"
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,0,4,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.32, 4.92, 8.63, 7.27]"
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.04, 8.73, 7.74, 7.14]"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,1,0.02,-4.04,"[0.98, 1.0, 0.99, 0.98]","[4.1, 6.39, 5.12, 3.86]"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,0,2,0.02,-4.0,"[0.98, 1.0, 0.99, 0.98]","[3.82, 10.2, 4.23, 3.73]"
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0,0,2,0.02,-4.04,"[0.98, 1.0, 1.0, 0.98]","[4.14, 6.41, 5.3, 3.8]"
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,0,3,0.02,-4.01,"[0.98, 1.0, 0.99, 0.98]","[3.86, 10.22, 4.4, 3.67]"
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,0,2,0.02,-4.08,"[1.0, 1.0, 0.99, 1.0]","[7.64, 5.35, 4.59, 7.66]"
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,0,3,0.02,-4.05,"[1.0, 1.0, 0.98, 1.0]","[7.36, 9.15, 3.69, 7.53]"
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",0,0,3,0.02,-4.09,"[1.0, 1.0, 0.99, 1.0]","[7.69, 5.37, 4.76, 7.6]"
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]",0,0,4,0.02,-4.06,"[1.0, 1.0, 0.98, 1.0]","[7.4, 9.17, 3.87, 7.47]"
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,0,2,0.02,-4.03,"[0.98, 1.0, 1.0, 0.97]","[3.67, 5.99, 8.97, 3.47]"
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0,0,3,0.02,-4.02,"[0.97, 1.0, 1.0, 0.97]","[3.39, 9.8, 8.08, 3.34]"
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",0,0,3,0.02,-4.03,"[0.98, 1.0, 1.0, 0.97]","[3.72, 6.01, 9.14, 3.41]"
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",0,0,4,0.02,-4.01,"[0.97, 1.0, 1.0, 0.96]","[3.44, 9.82, 8.25, 3.28]"
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0,0,3,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.22, 4.95, 8.44, 7.27]"
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.94, 8.76, 7.54, 7.14]"
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,0,4,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.26, 4.97, 8.61, 7.21]"
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.98, 8.78, 7.71, 7.08]"
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,0,2,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.41, 10.82, 8.63, 7.15]"
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,0,3,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.13, 14.63, 7.74, 7.02]"
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0,0,3,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.46, 10.84, 8.8, 7.09]"
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.18, 14.65, 7.91, 6.96]"
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0,0,3,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.96, 9.78, 8.1, 10.94]"
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.68, 13.58, 7.2, 10.81]"
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",0,0,4,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[11.0, 9.8, 8.27, 10.88]"
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.72, 13.6, 7.37, 10.75]"
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0,0,3,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.99, 10.42, 12.48, 6.75]"
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.71, 14.23, 11.58, 6.63]"
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.04, 10.44, 12.65, 6.7]"
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.75, 14.25, 11.75, 6.57]"
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0,0,4,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.54, 9.38, 11.95, 10.55]"
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.25, 13.19, 11.05, 10.42]"
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.58, 9.4, 12.12, 10.49]"
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.3, 13.2, 11.22, 10.36]"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0.14,-1.82,"[0.58, 0.8, 1.0, 0.53]","[0.34, 1.42, 5.59, 0.13]"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0,0,2,0.09,-2.32,"[0.51, 0.99, 0.99, 0.5]","[0.06, 5.22, 4.69, -0.0]"
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,0,2,0.14,-1.82,"[0.59, 0.81, 1.0, 0.52]","[0.38, 1.43, 5.76, 0.07]"
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",0,0,3,0.09,-2.32,"[0.53, 0.99, 0.99, 0.48]","[0.1, 5.24, 4.87, -0.06]"
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,0,2,0.07,-2.55,"[0.98, 0.59, 0.99, 0.98]","[3.88, 0.37, 5.06, 3.92]"
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0,0,3,0.02,-3.94,"[0.97, 0.98, 0.98, 0.98]","[3.6, 4.18, 4.16, 3.79]"
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",0,0,3,0.07,-2.57,"[0.98, 0.6, 0.99, 0.98]","[3.93, 0.39, 5.23, 3.86]"
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]",0,0,4,0.02,-3.95,"[0.97, 0.99, 0.99, 0.98]","[3.64, 4.2, 4.33, 3.74]"
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",1,0,2,0.23,-1.22,"[0.48, 0.73, 1.0, 0.43]","[-0.08, 1.02, 9.44, -0.26]"
