X,Y,Predicted,Number of 1's,F1,F2,F3,F4,F5,F6,A2,Z2,A1,Z1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0,0,0,0,0,0,0,1.0,5.31,"[0.0, 1.66, 0.74, 0.0]","[-0.01, 1.66, 0.74, -2.25]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,1,0,0,0,0,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-4.63, -1.99, -1.13, -3.65]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,1,0,0,0,0,0,0,0.01,-4.81,"[0.0, 0.84, 0.0, 0.0]","[-1.95, 0.84, -0.39, -2.93]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,0,2,0,0,0,0,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.58, -2.82, -2.26, -4.33]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,1,0,0,0,0,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-4.15, -0.11, -1.55, -3.56]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,2,0,0,0,0,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.78, -3.77, -3.42, -4.96]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0,0,2,0,0,0,0,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.1, -0.94, -2.69, -4.24]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,0,3,0,0,0,0,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-10.72, -4.6, -4.56, -5.65]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0.0,-23.27,"[5.27, 3.91, 3.59, 0.0]","[5.27, 3.91, 3.59, -0.48]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0,0,2,0,0,0,0,0,0,0.02,-3.97,"[0.64, 0.26, 1.72, 0.0]","[0.64, 0.26, 1.72, -1.88]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0,0,2,0,0,0,0,0,0,0.0,-13.25,"[3.32, 3.09, 2.46, 0.0]","[3.32, 3.09, 2.46, -1.16]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",0,0,3,0,0,0,0,0,0,0.0,-5.8,"[0.0, 0.0, 0.59, 0.0]","[-1.3, -0.57, 0.59, -2.56]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,2,0,0,0,0,0,0,0.24,-1.14,"[1.12, 2.14, 1.3, 0.0]","[1.12, 2.14, 1.3, -1.79]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,0,3,0,0,0,0,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-3.5, -1.52, -0.57, -3.19]"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,0,3,0,0,0,0,0,0,0.31,-0.78,"[0.0, 1.31, 0.17, 0.0]","[-0.82, 1.31, 0.17, -2.47]"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,0,4,0,0,0,0,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-5.45, -2.34, -1.7, -3.87]"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,1,0.0,-7.6,"[0.0, 0.37, 0.0, 0.0]","[-2.12, 0.37, -1.17, -0.93]"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,0,2,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.75, -3.28, -3.04, -2.33]"
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0,0,2,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-4.07, -0.45, -2.3, -1.61]"
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",0,0,3,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.69, -4.11, -4.17, -3.02]"
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,2,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.27, -1.4, -3.46, -2.24]"
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,0,3,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-10.9, -5.06, -5.34, -3.65]"
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0,0,3,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.21, -2.23, -4.6, -2.92]"
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",0,0,4,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-12.84, -5.88, -6.47, -4.33]"
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,0,2,0,0,0,0,0,1,0.0,-14.87,"[3.15, 2.63, 1.68, 0.84]","[3.15, 2.63, 1.68, 0.84]"
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",0,0,3,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-1.47, -1.03, -0.19, -0.56]"
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",0,0,3,0,0,0,0,0,1,0.0,-8.52,"[1.21, 1.8, 0.55, 0.16]","[1.21, 1.8, 0.55, 0.16]"
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",0,0,4,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-3.42, -1.86, -1.32, -1.25]"
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0,0,3,0,0,0,0,0,1,0.01,-4.71,"[0.0, 0.85, 0.0, 0.0]","[-0.99, 0.85, -0.61, -0.47]"
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,0,4,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-5.62, -2.81, -2.48, -1.87]"
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,0,4,0,0,0,0,0,1,0.0,-9.73,"[0.0, 0.02, 0.0, 0.0]","[-2.94, 0.02, -1.74, -1.15]"
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0,0,5,0,0,0,0,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-7.56, -3.63, -3.62, -2.56]"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,1,0,0.0,-10.58,"[2.1, 2.32, 1.15, 0.38]","[2.1, 2.32, 1.15, 0.38]"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,0,2,0,0,0,0,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-2.52, -1.34, -0.72, -1.02]"
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0,0,2,0,0,0,0,1,0,0.07,-2.61,"[0.16, 1.49, 0.02, 0.0]","[0.16, 1.49, 0.02, -0.3]"
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,0,3,0,0,0,0,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-4.47, -2.17, -1.86, -1.7]"
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,0,2,0,0,0,0,1,0,0.0,-6.59,"[0.0, 0.54, 0.0, 0.0]","[-2.04, 0.54, -1.15, -0.93]"
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,0,3,0,0,0,0,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.67, -3.11, -3.02, -2.33]"
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",0,0,3,0,0,0,0,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-3.99, -0.29, -2.28, -1.61]"
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]",0,0,4,0,0,0,0,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.61, -3.94, -4.15, -3.02]"
